Several lines of evidence suggest that the amygdala and the bed nucleus of the stria terminalis (BNST) are differentially involved in phasic and sustained fear.,0
Even though results from neuroimaging studies support this distinction a specific effect of a temporal dissociation with phasic responses to onset versus sustained responses during prolonged states of threat anticipation has not been shown yet.,1
To explore this issue we investigated brain activation during anticipation of threat in 38 healthy participants by means of functional magnetic resonance imaging.,1
Participants were presented different visual cues indicated the temporally unpredictable occurrence of a subsequent aversive or neutral stimulus.,0
During the onset of aversive versus neutral anticipatory cues results showed a differential phasic activation of amygdala anterior cingulate cortex (ACC) and ventrolateral prefrontal cortex (PFC).,0
In contrast activation in the BNST and other brain regions including insula dorsolateral PFC ACC cuneus posterior cingulate cortex and periaqueductal grey was characterized by a sustained response during the threat versus neutral anticipation period.,0
Analyses of functional connectivity showed phasic amygdala response as positively associated with activation mainly in sensory cortex areas whereas sustained BNST activation was negatively associated with activation in visual cortex and positively correlated with activation in the insula and thalamus.,0
These findings suggest that the amygdala is responsive to the onset of cues signaling the unpredictable occurrence of a potential threat while the BNST in concert with other areas is involved in sustained anxiety.,1
Furthermore the amygdala and BNST are characterized by distinctive connectivity patterns during threat anticipation.,0
The error-related negativity (ERN) currently appears as a physiological measure in relation to three Research Domain Criteria (RDoC) constructs: Cognitive Control Sustained Threat and Reward Learning.,0
We propose a conceptual model in which variance in the ERN reflects individual differences in the degree to which errors are evaluated as threatening.,0
We also discuss evidence for the placement of the ERN in the Sustained Threat construct as well as evidence that the ERN may more specifically reflect sensitivity to endogenous threat.,1
Following this we present data from a sample of 515 adolescent females demonstrating a larger ERN in relation to self-reported checking behaviors but only in older adolescents suggesting that sensitivity to internal threat and the ERN-checking relationship may follow a developmental course as adolescents develop behavioral control.,1
In contrast depressive symptoms were linked to a smaller ERN and this association was invariant with respect to age.,0
Collectively these data suggest that the magnitude of the ERN is sensitive both to specific anxiety-related processes and depression in opposing directions that may reflect variation in internal threat sensitivity.,1
We discuss directions for future research as well as ways in which findings for the ERN complement and challenge aspects of the current RDoC matrix.,0
Blood-injection-injury (BII) phobia differs from other subtypes of specific phobia in that it is associated with elevated disgust-sensitivity as well as specific autonomic and brain responses during processing of phobia-relevant stimuli.,0
To what extent these features play a role already during threat anticipation is unclear.,0
In the current fMRI experiment 16 female BII phobics and 16 female healthy controls anticipated the presentation of phobia-specific and neutral pictures.,1
On the behavioral level anxiety dominated the anticipatory period in BII phobics relative to controls while both anxiety and disgust were elevated during picture presentation.,0
By applying two different models for the analysis of brain responses to anticipation of phobia-specific versus neutral stimuli we found initial and sustained increases of activation in anterior cingulate cortex (ACC) insula lateral and medial prefrontal cortex (PFC) thalamus and visual areas as well as initial activation in the amygdala for BII phobics as compared to healthy controls.,0
These results suggest that BII phobia is characterized by activation of a typical neural defense network during threat anticipation with anxiety as the predominant emotion.,1
Different degrees of threat predictability are thought to induce either phasic fear or sustained anxiety.,0
Maladaptive sustained anxious apprehension is thought to result in overgeneralization of anxiety and thereby to contribute to the development of anxiety disorders.,1
Therefore differences in threat predictability have been associated with pathological states of anxiety with specific phobia (SP) representing phasic fear as heightened response to predictable threat while panic disorder (PD) is characterized by sustained anxiety (unpredictable threat) and as a consequence overgeneralization of fear.,1
The present study aimed to delineate commonalities and differences in the neural substrates of the impact of threat predictability on affective processing in these two anxiety disorders.,0
Twenty PD patients 20 SP patients and 20 non-anxious control subjects were investigated with an adapted NPU-design (no predictable unpredictable threat) using whole-head magnetoencephalography (MEG).,0
Group independent neural activity in the right dlPFC increased with decreasing threat predictability.,0
