BACKGROUND: Hammock positioning is now frequently used with preterm infants admitted to ICUs.,0
However few studies have investigated the extent to which hammock positioning reduces pain and improves the sleep-wakefulness state compared with traditional positioning.,1
METHODS: Twenty-six clinically stable newborns with gestational ages from 30 to 37 weeks who were breathing spontaneously were randomly assigned to 2 groups: a hammock-positioning group (n = 13) in which newborns were placed in hammocks in the lateral position and a traditional-positioning group (n = 13) in which they were kept nested also in the lateral position.,0
The following variables were evaluated at the beginning and the end of the treatment: pain (with the Premature Infant Pain Profile and Neonatal Facial Coding System) sleep-wakefulness state (with the Brazelton Neonatal Behavioral Assessment Scale) heart rate breathing frequency and peripheral SpO2 .,0
RESULTS: The subjects in the hammock-positioning group showed an improvement in pain compared with the traditional-positioning group(Premature Infant Pain Profile score 2.62 +/- 1.89 vs 2.31 +/- 1.97 DeltaP = .008) and sleep-wakefulness state score (2.08 +/- 0.64 vs 1.23 +/- 0.44 Delta P < .001) reduced heart rate (151.69 +/- 5.44 vs 142.77 +/- 5.18 beats/min Delta P < .001) breathing frequency (52.31 +/- 4.05 vs 50.23 +/- 2.55 beats/min Delta P = .024) and increased peripheral SpO2 (94.69 +/- 2.14 vs 98.00 +/- 1.22% Delta P < .001).,0
CONCLUSIONS: Hammock positioning was an effective treatment option to reduce pain and improve sleep-wakefulness state.,1
It also helped to reduce heart rate and breathing frequency and to increase peripheral SpO2  which made it a treatment option for preterm infants.,0
The possession of a rhythm is usually described as an important adaptation to regular changing environmental conditions such as the light-dark cycle.,0
However recent studies have suggested plasticity in the expression of a rhythm depending on life history and environmental factors.,0
Barn owl ( Tyto alba) nestlings show variations in behavior and physiology in relation to the size of black feather spots a trait associated with many behavioral and physiological phenotypes including the circadian expression of corticosterone and the regulation of body mass.,0
This raises the possibility that individual spottiness could be associated with rhythmicity in sleep-wakefulness.,1
Owlets showed ultradian rhythms in sleep-wakefulness with a period length of 4.5 to 4.9 h. The period length of wakefulness and non-REM sleep was shorter in heavily compared to lightly spotted female nestlings whereas in males the opposite result was found.,1
Furthermore male and female nestlings displaying small black spots showed strong rhythmicity levels in wakefulness and REM sleep.,0
This might be an advantage in a stable environment with predictable periodic changes in light temperature or social interactions.,0
Heavily spotted nestlings displayed weak rhythms in wakefulness and REM sleep which might enable them to be more flexible in reactions to unexpected events such as predation or might be a mechanism to save energy.,0
These findings are consistent with previous findings showing that large-spotted nestlings switch more frequently between wakefulness and sleep resulting in higher levels of vigilance compared to small-spotted conspecifics.,1
Thus nestlings with larger black feather spots might differently handle the trade-off between wakefulness and sleep attention and social interactions compared to nestlings with smaller black spots.,0
Distributed neural networks in the brain sustain generation of wakefulness and two sleep states: non-REM sleep and REM sleep.,0
These three behavioral states are jointly ingrained in a rhythmic sequence that constitutes the sleep-wakefulness cycle.,0
This paper reviews and updates knowledge about the involvement of the histaminergic system in sleep-wakefulness cycle organization.,1
Histaminergic neurons are exclusively located in the hypothalamic tuberomammillary nucleus but are the source of a widespread projection system to many brain regions.,0
Histamine neurons are active during waking especially with high attention need and remain silent in both non-REM and REM sleep.,1
There have been described four metabotropic histamine receptors of which H1R H2R and H3R are present in the nervous system.,0
H1R and H2R are mainly postsynaptic heteroreceptors whereas H3R is thought to be mostly a presynaptic auto- and hetero-receptor.,0
Histaminergic neurons are excited by hypocretinergic neurons and most of the arousing hypocretin effects are thought to depend on histaminergic actions.,0
Interactions among histaminergic axons and cholinergic nuclei within forebrain and brainstem are particularly important for cortical activation.,0
In contrast histaminergic tuberomammillary neurons similarly to other aminergic neurons in locus coeruleus or dorsal raphe nucleus are inhibited by non-REM sleep-promoting neurons of the preoptic region.,0
Further inhibitory actions on histamine neurons come from adenosine release on tuberomammillary region.,0
Finally histaminergic neurons inhibit REM-on hypothalamic neurons containing melanine-concentrating hormone thus supporting a permissive role of tuberomammillary nucleus in REM sleep.,1
Actually knockout mice for histidine decarboxylase the enzyme synthetizing histamine show a significant REM sleep increase.,0
The work was aimed for the ascertainment of following question - whether Orexin-containing neurons of dorsal and lateral hypothalamus and brain Orexinergic system in general are those cellular targets which can accelerate recovery of disturbed sleep homeostasis and restoration of sleep-wakefulness cycle behavioral states from barbiturate anesthesia-induced artificial sleep.,1
Investigation was carried out on 18 wild type white rats (weight 200-250gr).,0
Different doses of Nembutal Sodium were used for the initiation of deep anesthesia.,0
30 min after barbiturate anesthesia induced artificial sleep serial electrical stimulations of dorsal or lateral hypothalamus were started.,0
Stimulation period lasted for 1 hour with the 5 min intervals between subsequent stimulations applied by turn to the left and right side hypothalamic parts.,0
EEG registration of cortical and hippocampal electrical activity was started 10 min after intra-peritoneal administration of Nembutal Sodium and continued continuously during 72 hour.,0
According to obtained new evidences serial electrical stimulations of dorsal and lateral hypothalamic Orexin-containing neurons significantly accelerate recovery of wakefulness sleep homeostasis disturbed because of barbiturate anesthesia induced artificial sleep and different behavioral states of sleep-wakefulness cycle.,0
Hypothalamic Orexin-containing neurons can be considered as the cellular targets for regulating of sleep homeostasis through the acceleration of recovery of wakefulness and SWC in general from barbiturate anesthesia-induced deep sleep.,1
OBJECTIVE: To determine whether perinatal smoking exposure is associated with gastroesophageal reflux (GER)-related changes in sleep-wakefulness states in neonates.,1
STUDY DESIGN: Thirty-one neonates referred for the investigation of suspected GER were recruited and underwent multichannel impedance-pH monitoring and synchronized 8- to 12-hour polysomnography.,0
The infants' exposure to tobacco smoke was estimated by means of a urine cotinine assay.,0
The total number frequency (h(-1)) and mean duration (minutes) of GER-pH (reflux events detected by the pH electrode only) and GER-imp (reflux events with bolus movement detected by impedance) events were determined.,0
Intergroup differences (smoking-exposed group vs nonexposed group) were probed with nonparametric unpaired Mann-Whitney U tests.,0
A chi(2) test was used to assess a possible intergroup difference in bolus retrograde migration during GER-imp events.,0
RESULTS: According to the urine cotinine assay 21 of the 31 neonates had been exposed to cigarette smoke during the perinatal period.,0
The number (and frequency) of GER-imp was significantly greater (P = .016) in the exposed group (29 [0-90]) than in the nonexposed group (12 [2-35]).,0
Migration of the esophageal bolus from the distal segment to the most proximal segment was significantly more frequent (P = .016) in the exposed group (83% of GER) than in the nonexposed group (41%).,0
The GER pattern associated with smoking exposure was particularly obvious during Rapid eye movement sleep.,0
CONCLUSIONS: The more frequent occurrence and greater proximal migration of GER-imp in the smoking-exposed group (especially during rapid eye movement sleep) may have clinical relevance.,1
Smoking exposure is a preventable risk factor for limiting the occurrence of GER in neonates.,0
