25360124,"In a longitudinal study with N = 1854 adolescents from Germany we investigated patterns of change and gender differences in physical and relational aggression in relation to normative beliefs about these two forms of aggression.",1
25360124,"Participants whose mean age was 13 years at T1 completed self-report measures of physically and relationally aggressive behavior and indicated their normative approval of both forms of aggression at four data waves separated by 12-month intervals.",0
25360124,"Boys scored higher than did girls on both forms of aggression but the gender difference was more pronounced for physical aggression.",0
25360124,"Physical aggression decreased and relational aggression increased over the four data waves in both gender groups.",0
25360124,"The normative acceptance of both forms of aggression decreased over time with a greater decrease for the approval of physical aggression.",0
25360124,"In both gender groups normative approval of relational aggression prospectively predicted relational aggression across all data waves and the normative approval of physical aggression predicted physically aggressive behavior at the second and third data waves.",1
25360124,"A reciprocal reinforcement of aggressive norms and behavior was found for both forms of aggression.",0
25360124,"The findings are discussed as supporting a social information processing perspective on developmental patterns of change in physical and relational aggression in adolescence.",1
29057169,"Researchers have debated whether relational aggression is a developmentally-normative behavior or a sign of some underlying psychopathology.",0
29057169,"However due to the dearth of longitudinal studies we know little about how relational aggression and more severe forms of disruptive behavior co-develop.",1
29057169,"The present study examined bidirectional associations between relational aggression and two psychiatric disorders Oppositional Defiant Disorder (ODD) and Conduct Disorder (CD) using data from a longitudinal study of 674 Mexican-origin youth followed from age 10 to 16.",0
29057169,"Results showed that individuals who engaged in relational aggression tended to increase over time in ODD and CD symptoms and conversely individuals exhibiting symptoms of ODD and CD tended to increase in relational aggression.",0
29057169,"These findings held for boys and girls for youth born in Mexico and the U.S. and after controlling for physical aggression.",0
29057169,"Thus relational aggression seems to be both a developmentally-normative behavior and a predictor of future mental health problems.",1
26990794,"Adolescent peer aggression is a well-established correlate of romantic relational aggression; however the mechanisms underlying this association are unclear.",0
26990794,"Heavy episodic drinking (or binge alcohol use) was examined as both a prior and concurrent mediator of this link in a sample of 282 12-18 year old interviewed four times over 6 years.",0
26990794,"Path analyses indicated that early peer relational and physical aggression each uniquely predicted later romantic relational aggression.",0
26990794,"Concurrent heavy episodic drinking fully mediated this effect for peer physical aggression only.",0
26990794,"These findings highlight two important mechanisms by which peer aggression may increase the risk of later romantic relational aggression: a direct pathway from peer relational aggression to romantic relational aggression and an indirect pathway through peer physical aggression and concurrent heavy episodic drinking.",1
26990794,"Prevention programs targeting romantic relational aggression in adolescence and young adulthood may benefit from interventions that target multiple domains of risky behavior including the heavy concurrent use of alcohol.",0
26990794,"Aggr.",0
26990794,"Behav.",0
26990794,"42:563-576 2016.",0
26990794,"(c) 2016 Wiley Periodicals Inc.",0
24318459,"A three-wave longitudinal study among ethnically diverse preadolescents (N = 597 at Time 1 ages 9-11) was conducted to examine adaptive maladaptive mediational and bidirectional processes of relational and physical aggression victimization and peer liking indexed by peer acceptance and friendships.",0
24318459,"A series of nested structural equation models tested the hypothesized links among these peer-domain factors.",0
