29986218,"As behavior shows a distinct circadian rhythm it is hypothesized that circadian rhythms based on zebrafish (Danio rerio) behavior responses could be affected by contaminants in this study and then the behavior strength of zebrafish exposed to 0.005mg/L Cadmium chloride (CdCl2) 0.01mg/L Dibasic Sodium Phosphate (Na2HPO4) 0.002mg/L deltamethrin and 0.003mg/L atrazine for 6 days is used to illustrate the possibility of behavior circadian rhythms as an indicator in the environmental stress assessment.",0,circadian rhythms
29986218,"Statistical analysis with p<0.01 shows that a clear difference between average values of BS during dark period (AVD) and those during light period (AVL) could be observed and 24h circadian rhythms do exist in zebrafish behavior responses.",1,circadian rhythms
29986218,"Both BS values and circadian rhythms of zebrafish can be affected in the aspect of periodicity with clear time delay which were 1h delay in CdCl2 4h delay in Na2HPO4 4h delay in deltamethrin and 1h delay in atrazine.",0,circadian rhythms
29986218,"Behavior circadian rhythms were disturbed according to the repetitive cycles after autocorrelation analysis and the toxic effects of different chemicals could be reflected by the profiles of the Self-Organizing Map (SOM) which indicated the circadian rhythm disorder in different degrees.",1,circadian rhythms
29986218,"These results deduced from the statistical analysis autocorrelation and SOM strongly supported that circadian rhythms based on zebrafish BS could be used as an indicator in the environmental stress assessment.",1,circadian rhythms
27033596,"Endogenous circadian ( approximately 24 h) clocks regulate key physiological and cognitive processes via rhythmic expression of clock genes.",0,circadian rhythms
27033596,"The main circadian pacemaker is the hypothalamic suprachiasmatic nucleus (SCN).",0,circadian rhythms
27033596,"Mood disorders including bipolar disorder (BD) are commonly associated with disturbed circadian rhythms.",1,circadian rhythms
27033596,"Dopamine (DA) contributes to mania in BD and has direct impact on clock gene expression.",0,circadian rhythms
27033596,"Therefore we hypothesized that high levels of DA during episodes of mania contribute to disturbed circadian rhythms in BD.",1,circadian rhythms
27033596,"The mood stabilizer valproic acid (VPA) also affects circadian rhythms.",0,circadian rhythms
27033596,"Thus we further hypothesized that VPA normalizes circadian disturbances caused by elevated levels of DA.",0,circadian rhythms
27033596,"To test these hypotheses we examined locomotor rhythms and circadian gene cycling in mice with reduced expression of the dopamine transporter (DAT-KD mice) which results in elevated DA levels and mania-like behavior.",0,circadian rhythms
27033596,"We found that elevated DA signaling lengthened the circadian period of behavioral rhythms in DAT-KD mice and clock gene expression rhythms in SCN explants.",0,circadian rhythms
27033596,"In contrast we found that VPA shortened circadian period of behavioral rhythms in DAT-KD mice and clock gene expression rhythms in SCN explants hippocampal cell lines and human fibroblasts from BD patients.",0,circadian rhythms
27033596,"Thus DA and VPA have opposing effects on circadian period.",0,circadian rhythms
27033596,"To test whether the impact of VPA on circadian rhythms contributes to its behavioral effects we fed VPA to DAT-deficient Drosophila with and without functioning circadian clocks.",0,circadian rhythms
27033596,"Consistent with our hypothesis we found that VPA had potent activity-suppressing effects in hyperactive DAT-deficient flies with intact circadian clocks.",0,circadian rhythms
27033596,"However these effects were attenuated in DAT-deficient flies in which circadian clocks were disrupted suggesting that VPA functions partly through the circadian clock to suppress activity.",0,circadian rhythms
27033596,"Here we provide in vivo and in vitro evidence across species that elevated DA signaling lengthens the circadian period an effect remediated by VPA treatment.",1,circadian rhythms
